Food,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Pottasium,Carbohydrates,Fibre,VitaminD,Sugars
Whole Wheat,0,1,1,0,408,3,16,2.5,103,6,486,86,13,0,0.5
chapati,1,0,0,0,102,0.4,4,1.1,11,802,122,22,3,0,1.3
Idli,1,0,0,0,58,0.4,1.6,0.6,10,75,41.1,12,0.5,0,0.1
Missi Roti,0,1,1,0,215,0.5,3.8,2.05,63.24,119,181,14.3,2.8,0,1.3
whole grain cereals,1,0,0,0,265,0.72,2.66,22.35,1104,191.7,103.2,22.5,2.73,39.9,4.72
Oats,0,1,1,0,307,10.76,26.35,7.36,84.24,3.12,669.24,103.38,16.54,0,0.8
Apple,0,1,1,0,51,0.5,0.6,0.1,5,0.001,100,11.6,1.2,0,11.6
Guava,0,1,1,0,112,1.6,4.2,0.43,29.7,3.3,688,23.6,8.9,0,14.7
Papaya,1,0,0,0,119,0.32,1.4,0.23,55.2,6.9,591.1,22.56,4.14,0,13.57
Melon,1,0,0,0,46,0.23,0.93,0.36,10.64,1.52,170.24,11.48,0.61,0,9.42
Black Berry,1,1,1,0,490,14,12,3.9,395,336,450,83,14,0,16
Plum,0,0,1,0,30,0.2,0.46,0.11,9.9,0,259,7.5,0.9,0,6.6
Pear,1,0,0,0,100,0.2,0.63,0.28,14.94,1.66,197.54,25.66,5.15,0,16.27
Loquat,1,0,1,0,70,0.3,0.6,0.4,24,1.5,396,18,2.5,0,9.1
Peach,1,0,0,0,50,0.5,1,0.4,11,0,332.5,15,2,0,13
Avacodas,0,1,1,0,240,22,3,1.3,28,11,1116,13,10,0,1.5
Apricot,1,0,0,0,74,0.6,2.2,0.6,20,1.6,401,17,3.1,0,14
Amla,0,1,1,0,48,0.5,1,0.9,25,13,198,10,5,0,0
Orange,1,0,0,0,69,0.2,1.3,0.2,60,1.4,232.4,18,3.1,0,12
Pomegranate,0,1,1,0,145,2,2.9,0.5,18,5.3,413,33,7,0,24
Okra,1,0,0,0,33,0.2,1.9,0.6,82,7,299,7.5,3.2,0,1.5
Cauliflower,0,1,1,0,27,0.3,2.1,0.5,24,32,320,5.3,2.1,0,2
Cabbage,0,1,1,0,22,0.1,1.1,0.4,36,16,151,5.2,2.2,0,2.9
Beans,0,0,1,0,225,0.1,15,5.2,50,3.5,713,40,13,0,0.6
Spinach,0,0,1,0,6.9,0.1,0.9,0.8,30,24,167,1.1,0.7,0,0.1
Mushroom,0,0,1,0,15,0.2,2.2,0.4,2.1,3.5,223,2.3,0.7,0.1,1.4
Eggplant,0,1,1,0,21,0.1,0.8,0.2,7.4,1.6,188,4.8,2.5,0,2.9
Capsicum,0,1,1,0,18,0.1,0.9,0.5,8.1,3.2,153,4.3,0.7,0,2.3
